timestamp	step	train
1646612307716		OrderedDict([('mlogloss', [1.546616, 1.354978, 1.198828, 1.067345, 0.955641, 0.859766, 0.77581, 0.702023, 0.637269, 0.579516, 0.528127, 0.482108, 0.440903, 0.40351, 0.36928, 0.338535, 0.310537, 0.2852, 0.262091, 0.2413, 0.222271, 0.205437, 0.190105, 0.176284, 0.163558, 0.15173, 0.141166, 0.131271, 0.12246])])
1646612307719		OrderedDict([('mlogloss', [1.546616, 1.354978, 1.198828, 1.067345, 0.955641, 0.859766, 0.77581, 0.702023, 0.637269, 0.579516, 0.528127, 0.482108, 0.440903, 0.40351, 0.36928, 0.338535, 0.310537, 0.2852, 0.262091, 0.2413, 0.222271, 0.205437, 0.190105, 0.176284, 0.163558, 0.15173, 0.141166, 0.131271, 0.12246, 0.114443])])
1646612307721		OrderedDict([('mlogloss', [1.546616, 1.354978, 1.198828, 1.067345, 0.955641, 0.859766, 0.77581, 0.702023, 0.637269, 0.579516, 0.528127, 0.482108, 0.440903, 0.40351, 0.36928, 0.338535, 0.310537, 0.2852, 0.262091, 0.2413, 0.222271, 0.205437, 0.190105, 0.176284, 0.163558, 0.15173, 0.141166, 0.131271, 0.12246, 0.114443, 0.106895])])
1646612307723		OrderedDict([('mlogloss', [1.546616, 1.354978, 1.198828, 1.067345, 0.955641, 0.859766, 0.77581, 0.702023, 0.637269, 0.579516, 0.528127, 0.482108, 0.440903, 0.40351, 0.36928, 0.338535, 0.310537, 0.2852, 0.262091, 0.2413, 0.222271, 0.205437, 0.190105, 0.176284, 0.163558, 0.15173, 0.141166, 0.131271, 0.12246, 0.114443, 0.106895, 0.099774])])
1646612307725		OrderedDict([('mlogloss', [1.546616, 1.354978, 1.198828, 1.067345, 0.955641, 0.859766, 0.77581, 0.702023, 0.637269, 0.579516, 0.528127, 0.482108, 0.440903, 0.40351, 0.36928, 0.338535, 0.310537, 0.2852, 0.262091, 0.2413, 0.222271, 0.205437, 0.190105, 0.176284, 0.163558, 0.15173, 0.141166, 0.131271, 0.12246, 0.114443, 0.106895, 0.099774, 0.093584])])
1646612307727		OrderedDict([('mlogloss', [1.546616, 1.354978, 1.198828, 1.067345, 0.955641, 0.859766, 0.77581, 0.702023, 0.637269, 0.579516, 0.528127, 0.482108, 0.440903, 0.40351, 0.36928, 0.338535, 0.310537, 0.2852, 0.262091, 0.2413, 0.222271, 0.205437, 0.190105, 0.176284, 0.163558, 0.15173, 0.141166, 0.131271, 0.12246, 0.114443, 0.106895, 0.099774, 0.093584, 0.08774])])
1646612307729		OrderedDict([('mlogloss', [1.546616, 1.354978, 1.198828, 1.067345, 0.955641, 0.859766, 0.77581, 0.702023, 0.637269, 0.579516, 0.528127, 0.482108, 0.440903, 0.40351, 0.36928, 0.338535, 0.310537, 0.2852, 0.262091, 0.2413, 0.222271, 0.205437, 0.190105, 0.176284, 0.163558, 0.15173, 0.141166, 0.131271, 0.12246, 0.114443, 0.106895, 0.099774, 0.093584, 0.08774, 0.082286])])
1646612307731		OrderedDict([('mlogloss', [1.546616, 1.354978, 1.198828, 1.067345, 0.955641, 0.859766, 0.77581, 0.702023, 0.637269, 0.579516, 0.528127, 0.482108, 0.440903, 0.40351, 0.36928, 0.338535, 0.310537, 0.2852, 0.262091, 0.2413, 0.222271, 0.205437, 0.190105, 0.176284, 0.163558, 0.15173, 0.141166, 0.131271, 0.12246, 0.114443, 0.106895, 0.099774, 0.093584, 0.08774, 0.082286, 0.077409])])
1646612307733		OrderedDict([('mlogloss', [1.546616, 1.354978, 1.198828, 1.067345, 0.955641, 0.859766, 0.77581, 0.702023, 0.637269, 0.579516, 0.528127, 0.482108, 0.440903, 0.40351, 0.36928, 0.338535, 0.310537, 0.2852, 0.262091, 0.2413, 0.222271, 0.205437, 0.190105, 0.176284, 0.163558, 0.15173, 0.141166, 0.131271, 0.12246, 0.114443, 0.106895, 0.099774, 0.093584, 0.08774, 0.082286, 0.077409, 0.072928])])
1646612307735		OrderedDict([('mlogloss', [1.546616, 1.354978, 1.198828, 1.067345, 0.955641, 0.859766, 0.77581, 0.702023, 0.637269, 0.579516, 0.528127, 0.482108, 0.440903, 0.40351, 0.36928, 0.338535, 0.310537, 0.2852, 0.262091, 0.2413, 0.222271, 0.205437, 0.190105, 0.176284, 0.163558, 0.15173, 0.141166, 0.131271, 0.12246, 0.114443, 0.106895, 0.099774, 0.093584, 0.08774, 0.082286, 0.077409, 0.072928, 0.068755])])
1646612307737		OrderedDict([('mlogloss', [1.546616, 1.354978, 1.198828, 1.067345, 0.955641, 0.859766, 0.77581, 0.702023, 0.637269, 0.579516, 0.528127, 0.482108, 0.440903, 0.40351, 0.36928, 0.338535, 0.310537, 0.2852, 0.262091, 0.2413, 0.222271, 0.205437, 0.190105, 0.176284, 0.163558, 0.15173, 0.141166, 0.131271, 0.12246, 0.114443, 0.106895, 0.099774, 0.093584, 0.08774, 0.082286, 0.077409, 0.072928, 0.068755, 0.065037])])
1646612307739		OrderedDict([('mlogloss', [1.546616, 1.354978, 1.198828, 1.067345, 0.955641, 0.859766, 0.77581, 0.702023, 0.637269, 0.579516, 0.528127, 0.482108, 0.440903, 0.40351, 0.36928, 0.338535, 0.310537, 0.2852, 0.262091, 0.2413, 0.222271, 0.205437, 0.190105, 0.176284, 0.163558, 0.15173, 0.141166, 0.131271, 0.12246, 0.114443, 0.106895, 0.099774, 0.093584, 0.08774, 0.082286, 0.077409, 0.072928, 0.068755, 0.065037, 0.061453])])
1646612307742		OrderedDict([('mlogloss', [1.546616, 1.354978, 1.198828, 1.067345, 0.955641, 0.859766, 0.77581, 0.702023, 0.637269, 0.579516, 0.528127, 0.482108, 0.440903, 0.40351, 0.36928, 0.338535, 0.310537, 0.2852, 0.262091, 0.2413, 0.222271, 0.205437, 0.190105, 0.176284, 0.163558, 0.15173, 0.141166, 0.131271, 0.12246, 0.114443, 0.106895, 0.099774, 0.093584, 0.08774, 0.082286, 0.077409, 0.072928, 0.068755, 0.065037, 0.061453, 0.058137])])
1646612307744		OrderedDict([('mlogloss', [1.546616, 1.354978, 1.198828, 1.067345, 0.955641, 0.859766, 0.77581, 0.702023, 0.637269, 0.579516, 0.528127, 0.482108, 0.440903, 0.40351, 0.36928, 0.338535, 0.310537, 0.2852, 0.262091, 0.2413, 0.222271, 0.205437, 0.190105, 0.176284, 0.163558, 0.15173, 0.141166, 0.131271, 0.12246, 0.114443, 0.106895, 0.099774, 0.093584, 0.08774, 0.082286, 0.077409, 0.072928, 0.068755, 0.065037, 0.061453, 0.058137, 0.055264])])
1646612307746		OrderedDict([('mlogloss', [1.546616, 1.354978, 1.198828, 1.067345, 0.955641, 0.859766, 0.77581, 0.702023, 0.637269, 0.579516, 0.528127, 0.482108, 0.440903, 0.40351, 0.36928, 0.338535, 0.310537, 0.2852, 0.262091, 0.2413, 0.222271, 0.205437, 0.190105, 0.176284, 0.163558, 0.15173, 0.141166, 0.131271, 0.12246, 0.114443, 0.106895, 0.099774, 0.093584, 0.08774, 0.082286, 0.077409, 0.072928, 0.068755, 0.065037, 0.061453, 0.058137, 0.055264, 0.05248])])
1646612307747		OrderedDict([('mlogloss', [1.546616, 1.354978, 1.198828, 1.067345, 0.955641, 0.859766, 0.77581, 0.702023, 0.637269, 0.579516, 0.528127, 0.482108, 0.440903, 0.40351, 0.36928, 0.338535, 0.310537, 0.2852, 0.262091, 0.2413, 0.222271, 0.205437, 0.190105, 0.176284, 0.163558, 0.15173, 0.141166, 0.131271, 0.12246, 0.114443, 0.106895, 0.099774, 0.093584, 0.08774, 0.082286, 0.077409, 0.072928, 0.068755, 0.065037, 0.061453, 0.058137, 0.055264, 0.05248, 0.049914])])
1646612307749		OrderedDict([('mlogloss', [1.546616, 1.354978, 1.198828, 1.067345, 0.955641, 0.859766, 0.77581, 0.702023, 0.637269, 0.579516, 0.528127, 0.482108, 0.440903, 0.40351, 0.36928, 0.338535, 0.310537, 0.2852, 0.262091, 0.2413, 0.222271, 0.205437, 0.190105, 0.176284, 0.163558, 0.15173, 0.141166, 0.131271, 0.12246, 0.114443, 0.106895, 0.099774, 0.093584, 0.08774, 0.082286, 0.077409, 0.072928, 0.068755, 0.065037, 0.061453, 0.058137, 0.055264, 0.05248, 0.049914, 0.047534])])
1646612307750		OrderedDict([('mlogloss', [1.546616, 1.354978, 1.198828, 1.067345, 0.955641, 0.859766, 0.77581, 0.702023, 0.637269, 0.579516, 0.528127, 0.482108, 0.440903, 0.40351, 0.36928, 0.338535, 0.310537, 0.2852, 0.262091, 0.2413, 0.222271, 0.205437, 0.190105, 0.176284, 0.163558, 0.15173, 0.141166, 0.131271, 0.12246, 0.114443, 0.106895, 0.099774, 0.093584, 0.08774, 0.082286, 0.077409, 0.072928, 0.068755, 0.065037, 0.061453, 0.058137, 0.055264, 0.05248, 0.049914, 0.047534, 0.045403])])
1646612307752		OrderedDict([('mlogloss', [1.546616, 1.354978, 1.198828, 1.067345, 0.955641, 0.859766, 0.77581, 0.702023, 0.637269, 0.579516, 0.528127, 0.482108, 0.440903, 0.40351, 0.36928, 0.338535, 0.310537, 0.2852, 0.262091, 0.2413, 0.222271, 0.205437, 0.190105, 0.176284, 0.163558, 0.15173, 0.141166, 0.131271, 0.12246, 0.114443, 0.106895, 0.099774, 0.093584, 0.08774, 0.082286, 0.077409, 0.072928, 0.068755, 0.065037, 0.061453, 0.058137, 0.055264, 0.05248, 0.049914, 0.047534, 0.045403, 0.043311])])
1646612307753		OrderedDict([('mlogloss', [1.546616, 1.354978, 1.198828, 1.067345, 0.955641, 0.859766, 0.77581, 0.702023, 0.637269, 0.579516, 0.528127, 0.482108, 0.440903, 0.40351, 0.36928, 0.338535, 0.310537, 0.2852, 0.262091, 0.2413, 0.222271, 0.205437, 0.190105, 0.176284, 0.163558, 0.15173, 0.141166, 0.131271, 0.12246, 0.114443, 0.106895, 0.099774, 0.093584, 0.08774, 0.082286, 0.077409, 0.072928, 0.068755, 0.065037, 0.061453, 0.058137, 0.055264, 0.05248, 0.049914, 0.047534, 0.045403, 0.043311, 0.041389])])
1646612307755		OrderedDict([('mlogloss', [1.546616, 1.354978, 1.198828, 1.067345, 0.955641, 0.859766, 0.77581, 0.702023, 0.637269, 0.579516, 0.528127, 0.482108, 0.440903, 0.40351, 0.36928, 0.338535, 0.310537, 0.2852, 0.262091, 0.2413, 0.222271, 0.205437, 0.190105, 0.176284, 0.163558, 0.15173, 0.141166, 0.131271, 0.12246, 0.114443, 0.106895, 0.099774, 0.093584, 0.08774, 0.082286, 0.077409, 0.072928, 0.068755, 0.065037, 0.061453, 0.058137, 0.055264, 0.05248, 0.049914, 0.047534, 0.045403, 0.043311, 0.041389, 0.039781])])
1646612307757		OrderedDict([('mlogloss', [1.546616, 1.354978, 1.198828, 1.067345, 0.955641, 0.859766, 0.77581, 0.702023, 0.637269, 0.579516, 0.528127, 0.482108, 0.440903, 0.40351, 0.36928, 0.338535, 0.310537, 0.2852, 0.262091, 0.2413, 0.222271, 0.205437, 0.190105, 0.176284, 0.163558, 0.15173, 0.141166, 0.131271, 0.12246, 0.114443, 0.106895, 0.099774, 0.093584, 0.08774, 0.082286, 0.077409, 0.072928, 0.068755, 0.065037, 0.061453, 0.058137, 0.055264, 0.05248, 0.049914, 0.047534, 0.045403, 0.043311, 0.041389, 0.039781, 0.038122])])
